bin	group	depth	enzyme	abundance
OSU_TB38	Group3a	60.0	RHDs	0.163465
OSU_TB39	Group2	60.0	RHDs	0
OSU_TB40	Group1a	60.0	RHDs	0
OSU_TB42	Group3b	60.0	RHDs	0
OSU_TB43	Group1b	60.0	RHDs	0
OSU_TB44	Group1a	650.0	RHDs	0
OSU_TB45	Group3b	150.0	RHDs	0
OSU_TB46	Group4	150.0	RHDs	0
OSU_TB47	Group3a	800.0	RHDs	0.311405
OSU_TB48	Group3a	790.0	RHDs	0.293132
OSU_TB49	Group1b	80.0	RHDs	0
OSU_TB50	Group1b	5.0	RHDs	0
OSU_TB51	Group2	150.0	RHDs	0
OSU_TB52	Group3a	800.0	RHDs	0.288462
OSU_TB53	Group5	140.0	RHDs	0
OSU_TB54	Group3b	140.0	RHDs	0
OSU_TB55	Group5	140.0	RHDs	0
OSU_TB56	Group2	140.0	RHDs	0
OSU_TB57	Group5	140.0	RHDs	0
OSU_TB58	Group1b	140.0	RHDs	0
OSU_TB59	Group3a	140.0	RHDs	0.156006
OSU_TB60	Group1b	150.0	RHDs	0
OSU_TB61	Group3a	1000.0	RHDs	0.332364
OSU_TB62	Group4	80.0	RHDs	1.90887
OSU_TB63	Group1a	150.0	RHDs	0
OSU_TB64	Group1b	120.0	RHDs	0
OSU_TB65	Group3a	375.0	RHDs	0.29831
OSU_ZL01	Group3a	800.0	RHDs	0.156617
OSU_ZL02	Group3a	800.0	RHDs	0.186047
OSU_ZL03	Group3a	770.0	RHDs	0.212917
OSU_ZL04	Group3a	770.0	RHDs	0.282486
OSU_ZL05	Group5	511.0	RHDs	0
UM_GB_B1	Group3a	2000.0	RHDs	0.379049
USC_TB66	Group1b	unknown	RHDs	0
USC_TB67	Group2	unknown	RHDs	0
USC_TB68	Group1b	unknown	RHDs	0
USC_TB69	Group1b	unknown	RHDs	0
USC_TB70	Group2	unknown	RHDs	0
USC_TB71	Group1a	unknown	RHDs	0
USC_TB72	Group1b	unknown	RHDs	0.0830565
USC_TB74	Group2	unknown	RHDs	0
USC_TB75	Group1a	unknown	RHDs	0
USC_TB76	Group2	unknown	RHDs	0
USC_TB78	Group2	unknown	RHDs	0
USC_TB79	Group2	unknown	RHDs	0
USC_TB80	Group1a	unknown	RHDs	0
USC_TB81	Group2	unknown	RHDs	0
USC_TB82	Group1c	unknown	RHDs	0
USC_TB84	Group2	unknown	RHDs	0
USC_TB85	Group1b	unknown	RHDs	0
USC_TB86	Group1a	unknown	RHDs	0
USC_TB87	Group1b	unknown	RHDs	0
USC_TB88	Group4	unknown	RHDs	1.03093
USC_TB89	Group4	unknown	RHDs	2.26033
USC_TB90	Group1a	unknown	RHDs	0
USC_TB91	Group2	unknown	RHDs	0
USC_TB92	Group1a	unknown	RHDs	0.191205
USC_TB93	Group1a	unknown	RHDs	0
USC_TB94	Group5	unknown	RHDs	0
LSU_GOM1	Group1a	30.0	dehydrogenases	1.57092
LSU_GOM2	Group1a	30.0	dehydrogenases	1.94986
MPMJ01	Group4	5.0	dehydrogenases	1.32911
MPMM01	Group3a	5.0	dehydrogenases	0.980392
MPNC01	Group3a	5.0	dehydrogenases	1.06792
MPND01	Group2	5.0	dehydrogenases	1.15909
MPNN01	Group1a	5.0	dehydrogenases	1.07044
OSU_BB01	Group2	200.0	dehydrogenases	2.3015
OSU_BB02	Group1a	200.0	dehydrogenases	2.13828
OSU_BB03	Group1b	80.0	dehydrogenases	1.46379
OSU_BB04	Group1a	200.0	dehydrogenases	1.77244
OSU_BB05	Group2	200.0	dehydrogenases	1.8107
OSU_BB06	Group1b	0.0	dehydrogenases	1.61884
OSU_BB07	Group2	80.0	dehydrogenases	2.25564
OSU_BB08	Group1a	200.0	dehydrogenases	2.21361
OSU_BB09	Group2	200.0	dehydrogenases	2.28602
OSU_BB10	Group3a	200.0	dehydrogenases	2.08213
OSU_BB11	Group3a	200.0	dehydrogenases	1.85615
OSU_NS01	Group4	193.0	dehydrogenases	1.1194
OSU_NS02	Group5	200.0	dehydrogenases	1.25392
OSU_NS03	Group3a	200.0	dehydrogenases	1.68382
OSU_NS04	Group2	200.0	dehydrogenases	2.87425
OSU_NS05	Group1a	200.0	dehydrogenases	1.78344
