bins	biome	depth	genes	COG2141	COG4948	COG4638	COG1028	COG3119
TARA_038_SRF_0.22-1.6	(IO) Indian Ocean 	5	363959	190	180	292	1431	896
TARA_038_SRF_<-0.22	(IO) Indian Ocean 	5	179592	6	2	25	119	3
TARA_039_DCM_0.22-1.6	(IO) Indian Ocean 	25	520663	373	381	389	2096	1558
TARA_039_DCM_<-0.22	(IO) Indian Ocean 	25	153265	0	2	6	51	18
TARA_039_MES_0.1-0.22	(IO) Indian Ocean 	270	425236	27	66	48	622	170
TARA_039_MES_0.22-1.6	(IO) Indian Ocean 	270	402296	450	538	204	2272	549
TARA_039_SRF_0.1-0.22	(IO) Indian Ocean 	5	117948	6	3	13	105	8
TARA_039_SRF_<-0.22	(IO) Indian Ocean 	5	207551	4	10	10	136	6
TARA_041_DCM_0.22-1.6	(IO) Indian Ocean 	60	795123	491	364	578	3140	687
TARA_041_DCM_<-0.22	(IO) Indian Ocean 	60	255115	3	9	20	164	8
TARA_041_SRF_0.1-0.22	(IO) Indian Ocean 	5	89964	25	8	41	281	14
TARA_041_SRF_0.22-1.6	(IO) Indian Ocean 	5	495230	206	270	299	2178	1108
TARA_041_SRF_<-0.22	(IO) Indian Ocean 	5	131525	9	15	35	152	50
TARA_042_DCM_0.22-1.6	(IO) Indian Ocean 	80	614682	593	387	471	2737	546
TARA_042_DCM_<-0.22	(IO) Indian Ocean 	80	219985	3	4	16	157	6
TARA_042_SRF_0.22-1.6	(IO) Indian Ocean 	5	434297	266	246	300	2115	773
TARA_042_SRF_<-0.22	(IO) Indian Ocean 	5	146321	13	14	69	238	16
TARA_045_SRF_0.22-1.6	(IO) Indian Ocean 	5	419450	379	282	356	2407	1108
TARA_046_SRF_<-0.22	(IO) Indian Ocean 	5	125533	8	6	41	256	22
TARA_048_SRF_0.1-0.22	(IO) Indian Ocean 	5	332418	30	19	51	315	34
TARA_048_SRF_0.22-1.6	(IO) Indian Ocean 	5	494026	234	276	260	2598	1291
TARA_052_DCM_0.22-1.6	(IO) Indian Ocean 	75	631955	470	417	509	3246	731
TARA_052_DCM_<-0.22	(IO) Indian Ocean 	75	181583	0	4	10	39	0
TARA_052_SRF_0.22-1.6	(IO) Indian Ocean 	5	539034	242	401	335	2749	1398
TARA_056_MES_0.22-3	(IO) Indian Ocean 	1000	415057	680	392	495	2904	1142
TARA_056_SRF_0.22-3	(IO) Indian Ocean 	5	360521	229	348	306	2070	713
TARA_057_SRF_0.22-3	(IO) Indian Ocean 	5	376777	281	327	332	2055	1179
TARA_058_DCM_0.22-3	(IO) Indian Ocean 	66	461580	324	416	356	2326	1779
TARA_062_SRF_0.22-3	(IO) Indian Ocean 	5	411393	244	341	275	2049	843
TARA_064_DCM_0.1-0.22	(IO) Indian Ocean 	65	228386	0	2	4	46	0
TARA_064_DCM_0.22-3	(IO) Indian Ocean 	65	421593	755	550	511	2770	1286
TARA_064_DCM_<-0.22	(IO) Indian Ocean 	65	148013	0	2	3	44	0
TARA_064_MES_0.22-3	(IO) Indian Ocean 	1000	228996	806	436	348	1770	785
TARA_064_SRF_0.22-3	(IO) Indian Ocean 	5	725782	571	705	584	3917	1431
TARA_064_SRF_<-0.22	(IO) Indian Ocean 	5	192046	25	33	85	508	36
TARA_065_DCM_0.1-0.22	(IO) Indian Ocean 	30	348167	5	2	22	90	0
TARA_065_DCM_0.22-3	(IO) Indian Ocean 	30	364120	517	550	378	2249	1018
TARA_065_DCM_<-0.22	(IO) Indian Ocean 	30	222082	13	13	26	308	24
TARA_065_MES_0.22-3	(IO) Indian Ocean 	850	405469	1299	823	501	3145	1431
TARA_065_SRF_0.1-0.22	(IO) Indian Ocean 	5	294144	1	4	14	64	0
